Crime,Block,Month,Year,Location
Commercial Break and Enter,7700 146A ST ,6,2013,Surrey
Commercial Break and Enter,2400 161A ST ,6,2013,Surrey
Commercial Break and Enter,6900 150TH ST ,6,2013,Surrey
Commercial Break and Enter,13700 74TH AVE ,6,2013,Surrey
Commercial Break and Enter,19000 76TH AVE ,6,2013,Surrey
Commercial Break and Enter,13800 102ND AVE ,6,2013,Surrey
Commercial Break and Enter,14500 76B AVE ,6,2013,Surrey
Commercial Break and Enter,12700 115A AVE ,6,2013,Surrey
Commercial Break and Enter,16700 63RD AVE ,6,2013,Surrey
Commercial Break and Enter,10400 127TH ST ,6,2013,Surrey
Commercial Break and Enter,5600 128A ST ,6,2013,Surrey
Commercial Break and Enter,5900 135A ST ,6,2013,Surrey
Commercial Break and Enter,7000 126TH ST ,6,2013,Surrey
Commercial Break and Enter,2700 158TH ST ,6,2013,Surrey
Commercial Break and Enter,11200 134TH ST ,6,2013,Surrey
Commercial Break and Enter,7800 124TH ST ,6,2013,Surrey
Commercial Break and Enter,6100 150A ST ,6,2013,Surrey
Commercial Break and Enter,6300 140TH ST ,6,2013,Surrey
Commercial Break and Enter,14900 80B AVE ,6,2013,Surrey
Commercial Break and Enter,12500 77A AVE ,6,2013,Surrey
Commercial Break and Enter,12300 114TH AVE ,6,2013,Surrey
Commercial Break and Enter,13500 BINNIE LANE ,6,2013,Surrey
Commercial Break and Enter,2700 132ND ST ,6,2013,Surrey
Commercial Break and Enter,9400 128TH ST ,6,2013,Surrey
Commercial Break and Enter,10100 143RD ST ,6,2013,Surrey
Commercial Break and Enter,14800 104TH AVE ,6,2013,Surrey
Commercial Break and Enter,2400 161A ST ,6,2013,Surrey
Commercial Break and Enter,7200 192A ST ,6,2013,Surrey
Commercial Break and Enter,6400 194TH ST ,6,2013,Surrey
Commercial Break and Enter,15000 88TH AVE ,6,2013,Surrey
Commercial Break and Enter,8700 159TH ST ,6,2013,Surrey
Commercial Break and Enter,18200 BARNSTON DR E,6,2013,Surrey
Commercial Break and Enter,12800 CARLUKE CRES ,6,2013,Surrey
Commercial Break and Enter,19000 51B AVE ,6,2013,Surrey
Commercial Break and Enter,10900 JAY CRES ,6,2013,Surrey
Commercial Break and Enter,12200 74A AVE ,6,2013,Surrey
Commercial Break and Enter,9900 124B ST ,6,2013,Surrey
Commercial Break and Enter,19300 73A AVE ,6,2013,Surrey
Commercial Break and Enter,12700 66TH AVE ,6,2013,Surrey
Commercial Break and Enter,14300 RIDGE CRES ,6,2013,Surrey
Commercial Break and Enter,12400 78TH AVE ,6,2013,Surrey
Commercial Break and Enter,9400 PRINCE CHARLES BLVD,6,2013,Surrey
Commercial Break and Enter,10000 140TH ST ,6,2013,Surrey
Commercial Break and Enter,17700 68TH AVE ,6,2013,Surrey
Commercial Break and Enter,7200 140A ST ,6,2013,Surrey
Commercial Break and Enter,12800 63B AVE ,6,2013,Surrey
Commercial Break and Enter,13300 104TH AVE ,6,2013,Surrey
Commercial Break and Enter,2400 161A ST ,6,2013,Surrey
Commercial Break and Enter,2500 148A ST ,6,2013,Surrey
Commercial Break and Enter,10700 140TH ST ,6,2013,Surrey
Commercial Break and Enter,9300 127A ST ,6,2013,Surrey
Commercial Break and Enter,10400 138TH ST ,6,2013,Surrey
Commercial Break and Enter,10000 144TH ST ,6,2013,Surrey
Commercial Break and Enter,6200 125TH ST ,6,2013,Surrey
Commercial Break and Enter,13400 113TH AVE ,6,2013,Surrey
Commercial Break and Enter,13700 111A AVE ,6,2013,Surrey
Commercial Break and Enter,15400 107A AVE ,6,2013,Surrey
Commercial Break and Enter,12500 66TH AVE ,6,2013,Surrey
Commercial Break and Enter,10900 130A ST ,6,2013,Surrey
Commercial Break and Enter,13100 56TH AVE ,6,2013,Surrey
Commercial Break and Enter,14700 32A AVE ,6,2013,Surrey
Commercial Break and Enter,10000 129TH ST ,6,2013,Surrey
Commercial Break and Enter,14400 78TH AVE ,6,2013,Surrey
Commercial Break and Enter,16300 80A AVE ,6,2013,Surrey
Commercial Break and Enter,10800 141ST ST ,6,2013,Surrey
Commercial Break and Enter,13900 94TH AVE ,6,2013,Surrey
Commercial Break and Enter,9900 140TH ST ,6,2013,Surrey
Commercial Break and Enter,16200 10TH AVE ,6,2013,Surrey
Commercial Break and Enter,8300 144A ST ,6,2013,Surrey
Commercial Break and Enter,8200 121A ST ,6,2013,Surrey
Commercial Break and Enter,9400 150TH ST ,6,2013,Surrey
Commercial Break and Enter,16400 28TH AVE ,6,2013,Surrey
Commercial Break and Enter,14200 GROSVENOR RD ,6,2013,Surrey
Commercial Break and Enter,2200 140TH ST ,6,2013,Surrey
Commercial Break and Enter,2700 132ND ST ,6,2013,Surrey
Commercial Break and Enter,14200 71A AVE ,6,2013,Surrey
Commercial Break and Enter,10700 156TH ST ,6,2013,Surrey
Commercial Break and Enter,19500 71A AVE ,6,2013,Surrey
Commercial Break and Enter,12400 78A AVE ,6,2013,Surrey
Commercial Break and Enter,6200 KING GEORGE BLVD,6,2013,Surrey
Commercial Break and Enter,13500 84TH AVE ,6,2013,Surrey
Commercial Break and Enter,13100 103RD AVE ,6,2013,Surrey
Commercial Break and Enter,10300 125A ST ,6,2013,Surrey
Commercial Break and Enter,7100 HALL RD ,6,2013,Surrey
Commercial Break and Enter,15000 88TH AVE ,6,2013,Surrey
Commercial Break and Enter,10000 127B ST ,6,2013,Surrey
Commercial Break and Enter,13700 72A AVE ,6,2013,Surrey
Commercial Break and Enter,10100 142ND ST ,6,2013,Surrey
Commercial Break and Enter,11200 133A ST ,6,2013,Surrey
Commercial Break and Enter,19200 73RD AVE ,6,2013,Surrey
Commercial Break and Enter,14500 68TH AVE ,6,2013,Surrey
Commercial Break and Enter,14100 103RD AVE ,6,2013,Surrey
Commercial Break and Enter,6900 129A ST ,6,2013,Surrey
Commercial Break and Enter,15600 106A AVE ,6,2013,Surrey
Commercial Break and Enter,6200 126TH ST ,6,2013,Surrey
Commercial Break and Enter,15200 GUILDFORD DR ,6,2013,Surrey
Commercial Break and Enter,14300 57TH AVE ,6,2013,Surrey
Commercial Break and Enter,12700 104A AVE ,6,2013,Surrey
Commercial Break and Enter,13600 110A AVE ,6,2013,Surrey
Commercial Break and Enter,9400 128TH ST ,6,2013,Surrey
Commercial Break and Enter,13500 GATEWAY DR ,6,2013,Surrey
Commercial Break and Enter,13300 102A AVE ,6,2013,Surrey
Commercial Break and Enter,13100 100A AVE ,6,2013,Surrey
Commercial Break and Enter,8100 121A ST ,6,2013,Surrey
Commercial Break and Enter,15100 68TH AVE ,6,2013,Surrey
Commercial Break and Enter,15800 102B AVE ,6,2013,Surrey
Commercial Break and Enter,13500 91ST AVE ,6,2013,Surrey
Commercial Break and Enter,10900 JAY CRES ,6,2013,Surrey
Commercial Break and Enter,6300 138TH ST ,6,2013,Surrey
Commercial Break and Enter,12900 64TH AVE ,6,2013,Surrey
Commercial Break and Enter,12100 93A AVE ,6,2013,Surrey
Commercial Break and Enter,13800 102ND AVE ,6,2013,Surrey
Commercial Break and Enter,15400 27A AVE ,6,2013,Surrey
Commercial Break and Enter,13000 60A AVE ,6,2013,Surrey
Commercial Break and Enter,11100 BOLIVAR CRES ,6,2013,Surrey
Commercial Break and Enter,2700 132ND ST ,6,2013,Surrey
Commercial Break and Enter,9900 140TH ST ,6,2013,Surrey
Commercial Break and Enter,13700 74TH AVE ,6,2013,Surrey
Commercial Break and Enter,15900 101ST AVE ,6,2013,Surrey
Commercial Break and Enter,12900 111TH AVE ,6,2013,Surrey
Commercial Break and Enter,10800 142ND ST ,6,2013,Surrey
Commercial Break and Enter,10900 144TH ST ,6,2013,Surrey
Commercial Break and Enter,14100 KINDERSLEY DR ,6,2013,Surrey
Commercial Break and Enter,13700 56TH AVE ,6,2013,Surrey
Commercial Break and Enter,11100 BOLIVAR CRES ,6,2013,Surrey
Commercial Break and Enter,11100 128TH ST ,6,2013,Surrey
Commercial Break and Enter,7200 192ND ST ,6,2013,Surrey
Commercial Break and Enter,13900 102ND AVE ,6,2013,Surrey
Commercial Break and Enter,15200 86TH AVE ,6,2013,Surrey
Commercial Break and Enter,13000 104TH AVE ,6,2013,Surrey
Commercial Break and Enter,10200 126TH ST ,6,2013,Surrey
Commercial Break and Enter,13300 KING GEORGE BLVD,6,2013,Surrey
Commercial Break and Enter,12300 92A AVE ,6,2013,Surrey
Commercial Break and Enter,10400 GLENMOOR PL ,6,2013,Surrey
Commercial Break and Enter,6400 122A ST ,6,2013,Surrey
Commercial Break and Enter,8700 151B ST ,6,2013,Surrey
Commercial Break and Enter,10700 150TH ST ,6,2013,Surrey
Commercial Break and Enter,6800 193RD ST ,6,2013,Surrey
Commercial Break and Enter,14100 110A AVE ,6,2013,Surrey
Commercial Break and Enter,12900 107TH AVE ,6,2013,Surrey
Commercial Break and Enter,17300 3A AVE ,6,2013,Surrey
Commercial Break and Enter,12200 97A AVE ,6,2013,Surrey
Commercial Break and Enter,10300 128TH ST ,6,2013,Surrey
Commercial Break and Enter,5600 SUNDALE GRV ,6,2013,Surrey
Commercial Break and Enter,10900 132A ST ,6,2013,Surrey
Commercial Break and Enter,5800 152ND ST ,6,2013,Surrey
Commercial Break and Enter,11100 SCOTT RD ,6,2013,Surrey
Commercial Break and Enter,14700 89A AVE ,6,2013,Surrey
Commercial Break and Enter,14500 CHARTWELL DR ,6,2013,Surrey
Commercial Break and Enter,8100 120TH ST ,6,2013,Surrey
Commercial Break and Enter,15300 16A AVE ,6,2013,Surrey
Commercial Break and Enter,13700 GROSVENOR RD ,6,2013,Surrey
Commercial Break and Enter,14000 102A AVE ,6,2013,Surrey
Commercial Break and Enter,7000 152ND ST ,6,2013,Surrey
Commercial Break and Enter,10500 132ND ST ,6,2013,Surrey
Commercial Break and Enter,13900 113A AVE ,6,2013,Surrey
Commercial Break and Enter,11300 RIVER RD ,6,2013,Surrey
Commercial Break and Enter,13600 112TH AVE ,6,2013,Surrey
Commercial Break and Enter,12400 73A AVE ,6,2013,Surrey
Commercial Break and Enter,8700 140TH ST ,6,2013,Surrey
Commercial Break and Enter,14300 HYLAND RD ,6,2013,Surrey
Commercial Break and Enter,14100 62ND AVE ,7,2013,Surrey
Commercial Break and Enter,13400 88TH AVE ,7,2013,Surrey
Commercial Break and Enter,13300 OLD YALE RD,7,2013,Surrey
Commercial Break and Enter,2400 164TH ST ,7,2013,Surrey
Commercial Break and Enter,19100 63RD AVE ,7,2013,Surrey
Commercial Break and Enter,19000 63RD AVE ,7,2013,Surrey
Commercial Break and Enter,15900 101ST AVE ,7,2013,Surrey
Commercial Break and Enter,9600 131A ST ,7,2013,Surrey
Commercial Break and Enter,5800 134TH ST ,7,2013,Surrey
Commercial Break and Enter,10500 150TH ST ,7,2013,Surrey
Commercial Break and Enter,4100 192ND ST ,7,2013,Surrey
Commercial Break and Enter,11100 BOLIVAR CRES ,7,2013,Surrey
Commercial Break and Enter,16000 28A AVE ,7,2013,Surrey
Commercial Break and Enter,13200 104TH AVE ,7,2013,Surrey
Commercial Break and Enter,7500 127A ST ,7,2013,Surrey
Commercial Break and Enter,14300 82ND AVE ,7,2013,Surrey
Commercial Break and Enter,13700 107A AVE ,7,2013,Surrey
Commercial Break and Enter,9800 WHALLEY BLVD ,7,2013,Surrey
Commercial Break and Enter,14600 67B AVE ,7,2013,Surrey
Commercial Break and Enter,7300 192ND ST ,7,2013,Surrey
Commercial Break and Enter,12700 66TH AVE ,7,2013,Surrey
Commercial Break and Enter,2400 156TH ST ,7,2013,Surrey
Commercial Break and Enter,6900 190TH ST ,7,2013,Surrey
Commercial Break and Enter,10100 127B ST ,7,2013,Surrey
Commercial Break and Enter,6700 193A ST ,7,2013,Surrey
Commercial Break and Enter,14100 65TH AVE ,7,2013,Surrey
Commercial Break and Enter,6000 190TH ST ,7,2013,Surrey
Commercial Break and Enter,19400 66A AVE ,7,2013,Surrey
Commercial Break and Enter,12400 61ST AVE ,7,2013,Surrey
Commercial Break and Enter,13700 102ND AVE ,7,2013,Surrey
Commercial Break and Enter,14600 WELLINGTON DR ,7,2013,Surrey
Commercial Break and Enter,3400 144TH ST ,7,2013,Surrey
Commercial Break and Enter,19400 67A AVE ,7,2013,Surrey
Commercial Break and Enter,16500 86TH AVE ,7,2013,Surrey
Commercial Break and Enter,2500 150TH ST ,7,2013,Surrey
Commercial Break and Enter,16200 27A AVE ,7,2013,Surrey
Commercial Break and Enter,6700 193B ST ,7,2013,Surrey
Commercial Break and Enter,13400 71A AVE ,7,2013,Surrey
Commercial Break and Enter,2400 161A ST ,7,2013,Surrey
Commercial Break and Enter,11900 OLD YALE RD,7,2013,Surrey
Commercial Break and Enter,14900 21ST AVE ,7,2013,Surrey
Commercial Break and Enter,3300 157A ST ,7,2013,Surrey
Commercial Break and Enter,1600 156A ST ,7,2013,Surrey
Commercial Break and Enter,14400 67B AVE ,7,2013,Surrey
Commercial Break and Enter,7200 145TH ST ,7,2013,Surrey
Commercial Break and Enter,2600 162ND ST ,7,2013,Surrey
Commercial Break and Enter,14300 20TH AVE ,7,2013,Surrey
Commercial Break and Enter,16700 61ST AVE ,7,2013,Surrey
Commercial Break and Enter,19000 67A AVE ,7,2013,Surrey
Commercial Break and Enter,11200 132ND ST ,7,2013,Surrey
Commercial Break and Enter,13900 72ND AVE ,7,2013,Surrey
Commercial Break and Enter,19200 68A AVE ,7,2013,Surrey
Commercial Break and Enter,11100 135A ST ,7,2013,Surrey
Commercial Break and Enter,13200 104TH AVE ,7,2013,Surrey
Commercial Break and Enter,13800 70TH AVE ,7,2013,Surrey
Commercial Break and Enter,14100 84TH AVE ,7,2013,Surrey
Commercial Break and Enter,13300 15B AVE ,7,2013,Surrey
Commercial Break and Enter,19400 67A AVE ,7,2013,Surrey
Commercial Break and Enter,13000 107TH AVE ,7,2013,Surrey
Commercial Break and Enter,14200 GREENCREST DR ,7,2013,Surrey
Commercial Break and Enter,14300 57TH AVE ,7,2013,Surrey
Commercial Break and Enter,19200 69A AVE ,7,2013,Surrey
Commercial Break and Enter,5900 191A ST ,7,2013,Surrey
Commercial Break and Enter,2300 152A ST ,7,2013,Surrey
Commercial Break and Enter,13000 97TH AVE ,7,2013,Surrey
Commercial Break and Enter,18500 60A AVE ,7,2013,Surrey
Commercial Break and Enter,12800 OLD YALE RD,7,2013,Surrey
Commercial Break and Enter,17700 56A AVE ,7,2013,Surrey
Commercial Break and Enter,19200 69A AVE ,7,2013,Surrey
Commercial Break and Enter,7900 125TH ST ,7,2013,Surrey
Commercial Break and Enter,12000 76TH AVE ,7,2013,Surrey
Commercial Break and Enter,9600 153A ST ,7,2013,Surrey
Commercial Break and Enter,5800 152ND ST ,7,2013,Surrey
Commercial Break and Enter,7500 HURDLE CRES ,7,2013,Surrey
Commercial Break and Enter,8500 151A ST ,7,2013,Surrey
Commercial Break and Enter,14100 25A AVE ,7,2013,Surrey
Commercial Break and Enter,15100 97B AVE ,7,2013,Surrey
Commercial Break and Enter,16500 88TH AVE ,7,2013,Surrey
Commercial Break and Enter,19100 72A AVE ,7,2013,Surrey
Commercial Break and Enter,12900 74TH AVE ,7,2013,Surrey
Commercial Break and Enter,11000 131A ST ,7,2013,Surrey
Commercial Break and Enter,3000 MCBRIDE AVE ,7,2013,Surrey
Commercial Break and Enter,13300 68TH AVE ,7,2013,Surrey
Commercial Break and Enter,3300 157A ST ,7,2013,Surrey
Commercial Break and Enter,3100 144TH ST ,7,2013,Surrey
Commercial Break and Enter,9100 144TH ST ,7,2013,Surrey
Commercial Break and Enter,13300 108TH AVE ,7,2013,Surrey
Commercial Break and Enter,12300 91ST AVE ,7,2013,Surrey
Commercial Break and Enter,13400 112A AVE ,7,2013,Surrey
Commercial Break and Enter,5800 132ND ST ,7,2013,Surrey
Commercial Break and Enter,12900 58B AVE ,7,2013,Surrey
Commercial Break and Enter,12000 101ST AVE ,7,2013,Surrey
Commercial Break and Enter,3100 144TH ST ,7,2013,Surrey
Commercial Break and Enter,14000 60TH AVE ,7,2013,Surrey
Commercial Break and Enter,15300 20TH AVE ,7,2013,Surrey
Commercial Break and Enter,6300 173A ST ,7,2013,Surrey
Commercial Break and Enter,17800 21ST AVE ,7,2013,Surrey
Commercial Break and Enter,2100 148A ST ,7,2013,Surrey
Commercial Break and Enter,6900 132ND ST ,7,2013,Surrey
Theft of Motor Vehicle,17700 64TH AVE     ,1,2014,Surrey
Theft from Motor Vehicle,8100 128TH ST     ,1,2014,Surrey
Fatal/Injury Collision,9700 134TH ST     ,1,2014,Surrey
Fatal/Injury Collision,2400 140TH ST     ,1,2014,Surrey
Commercial Break and Enter,15900 108TH AVE     ,1,2014,Surrey
Theft of Motor Vehicle,13600 67TH AVE     ,1,2014,Surrey
Fatal/Injury Collision,12500 82ND AVE     ,1,2014,Surrey
Shoplifting,12800 KING GEORGE BLVD    ,1,2014,Surrey
Fatal/Injury Collision,3100 KING GEORGE BLVD    ,1,2014,Surrey
Commercial Break and Enter,16900 64TH AVE     ,1,2014,Surrey
Fatal/Injury Collision,3000 184TH ST     ,1,2014,Surrey
Commercial Break and Enter,10700 UNIVERSITY DR     ,1,2014,Surrey
Theft from Motor Vehicle,14600 73RD AVE     ,1,2014,Surrey
Theft from Motor Vehicle,16000 95A AVE     ,1,2014,Surrey
Theft from Motor Vehicle,19400 LANGLEY BPS     ,1,2014,Surrey
Fatal/Injury Collision,12300 104TH AVE     ,1,2014,Surrey
Theft of Motor Vehicle,12100 72ND AVE     ,1,2014,Surrey
Commercial Break and Enter,13000 HUNTLEY AVE     ,1,2014,Surrey
Theft from Motor Vehicle,12900 98A AVE     ,1,2014,Surrey
Commercial Break and Enter,7600 122ND ST     ,1,2014,Surrey
Theft of Motor Vehicle,9400 128TH ST     ,1,2014,Surrey
Theft from Motor Vehicle,9000 162ND ST     ,1,2014,Surrey
Theft from Motor Vehicle,17700 60TH AVE     ,1,2014,Surrey
Fatal/Injury Collision,13500 60TH AVE     ,1,2014,Surrey
Theft from Motor Vehicle,8900 146A ST     ,1,2014,Surrey
Commercial Break and Enter,14800 SPENSER DR     ,1,2014,Surrey
Commercial Break and Enter,5800 184TH ST     ,1,2014,Surrey
Commercial Break and Enter,17900 55TH AVE     ,1,2014,Surrey
Theft of Motor Vehicle,13300 108TH AVE     ,1,2014,Surrey
Commercial Break and Enter,12100 75A AVE     ,1,2014,Surrey
Commercial Break and Enter,14700 64TH AVE     ,1,2014,Surrey
Commercial Break and Enter,15900 FRASER HWY     ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 72ND AVE / 150A ST   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 62ND AVE / 152ND ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 104TH AVE / SCOTT RD   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 189TH ST / 68TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 90TH AVE / 140TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 153A ST / 96TH AVE   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 162ND ST / 27A AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 72ND AVE / 148TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 186TH ST / 65TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 186TH ST / 65TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 132ND ST / 78TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 32ND AVE / 176TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 76TH AVE / 138TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 152ND ST / 84TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 56TH AVE / 192ND ST   ,1,2014,Surrey
Theft of Motor Vehicle,Surrey 104TH AVE / 168TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 176TH ST / 66A AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 60TH AVE / 169TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 132ND ST / 80TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 120A ST / 80TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 110TH AVE / 164TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 168TH ST / FRASER HWY   ,1,2014,Surrey
Theft of Motor Vehicle,Surrey KING GEORGE BLVD / 56TH AVE  ,1,2014,Surrey
Fatal/Injury Collision,Surrey 140TH ST / 88TH AVE   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 158TH ST / 27TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 144TH ST / 72ND AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey FRASER HWY / 140TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 188TH ST / 24TH AVE   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 73RD AVE / PARKWOOD DR   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 26TH AVE / 140TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 60TH AVE / 176A ST   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 162A ST / 83RD AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 127TH ST / 80TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 68TH AVE / 126TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 96TH AVE / 188TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 76TH AVE / KING GEORGE BLVD  ,1,2014,Surrey
Fatal/Injury Collision,Surrey FRASER HWY / 96TH AVE   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 168TH ST / GREENWAY DR   ,1,2014,Surrey
Fatal/Injury Collision,Surrey KING GEORGE BLVD / 108TH AVE  ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 138TH ST / 92ND AVE   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 102ND AVE / KING GEORGE BLVD  ,1,2014,Surrey
Fatal/Injury Collision,Surrey 152ND ST / 56TH AVE   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 40TH AVE / KING GEORGE BLVD  ,1,2014,Surrey
Fatal/Injury Collision,Surrey 132ND ST / 68TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 176TH ST / 64TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 104TH AVE / 140TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 148TH ST / FRASER HWY   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 140TH ST / 96TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 160TH ST / FRASER HWY   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 93A AVE / 164TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 152ND ST OFRP / HWY 99  ,1,2014,Surrey
Fatal/Injury Collision,Surrey 120TH ST / 72ND AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 168TH ST / 88TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 176TH ST / 16TH AVE   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 149TH ST / 69TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 72ND AVE / KING GEORGE BLVD  ,1,2014,Surrey
Theft of Motor Vehicle,Surrey 162A ST / 96B AVE   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 153RD ST / 105TH AVE   ,1,2014,Surrey
Commercial Break and Enter,Surrey COLEBROOK RD / KING GEORGE BLVD  ,1,2014,Surrey
Fatal/Injury Collision,Surrey 132ND ST / 92B AVE   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 189TH ST / 70TH AVE   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 102A AVE / 133RD ST   ,1,2014,Surrey
Commercial Break and Enter,Surrey COLEBROOK RD / 152ND ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 140TH ST / 84TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 194TH ST / 64TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 94A AVE / KING GEORGE BLVD  ,1,2014,Surrey
Fatal/Injury Collision,Surrey HWY 99 / 32ND AVE ONRP  ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 151ST ST / 88A AVE   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 93A AVE / 138TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 103RD AVE / WHALLEY BLVD   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 72ND AVE / KING GEORGE BLVD  ,1,2014,Surrey
Fatal/Injury Collision,Surrey 72ND AVE / 124TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 60TH AVE / 146TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 60TH AVE / 169TH ST   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 176TH ST / 56TH AVE   ,1,2014,Surrey
Theft of Motor Vehicle,Surrey 152ND ST / 88TH AVE   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 188TH ST / 68TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 140TH ST / 96TH AVE   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey MCBRIDE AVE / WICKSON RD   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 120TH ST / 80TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 104TH AVE / 139TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 128TH ST / 78TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 18TH AVE / 152ND ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 80TH AVE / 120TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 195TH ST / 96TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 76TH AVE / KING GEORGE BLVD  ,1,2014,Surrey
Fatal/Injury Collision,Surrey FRASER HWY / 88TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 72ND AVE / HALL RD   ,1,2014,Surrey
Theft of Motor Vehicle,Surrey 148A ST / 95TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 156TH ST / 88TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 179TH ST / 60TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 88TH AVE / 146TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 153RD ST / 100TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 164TH ST / FRASER HWY   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 60TH AVE / 166TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 134TH ST / 92ND AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 64TH AVE / 152ND ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 108TH AVE / ORIOLE DR   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 72ND AVE / 148TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 172B ST / 58TH AVE   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 64TH AVE / 126TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 72ND AVE / KING GEORGE BLVD  ,1,2014,Surrey
Fatal/Injury Collision,Surrey FRASER HWY / 166TH ST   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 8TH AVE / 172ND ST   ,1,2014,Surrey
Theft from Motor Vehicle,Surrey 152ND ST / FRASER HWY   ,1,2014,Surrey
Fatal/Injury Collision,Surrey 176TH ST / 56TH AVE   ,1,2014,Surrey
